number,title,character,line
3,Star Trek III: The Search for Spock,COY,"Then perhaps it's not too late. ...Climb the steps, Jim. ...Climb the steps of Mount Seleya."
3,Star Trek III: The Search for Spock,KIRK,"Mount Seleya? Bones, Mount Seleya is on Vulcan! We're home, ...on Earth! Mc"
3,Star Trek III: The Search for Spock,COY,Remember!
3,Star Trek III: The Search for Spock,UHURA,"Admiral, docking is completed. Starfleet Commander Morrow is on his way for inspection."
3,Star Trek III: The Search for Spock,KIRK,Uhura! Get the medics down here! Get them now!
3,Star Trek III: The Search for Spock,MORROW,"You've all done remarkable service under the most difficult conditions. You'll be receiving Starfleet's highest commendation, and more importantly, extended shore leave. ...That is, all but you, Mister Scott. They need your wisdom on the new Excelsior. ...Report there tomorrow as Captain of Engineering."
3,Star Trek III: The Search for Spock,SCOTT,"With all appreciation, sir, I'd prefer to supervise the refit of Enterprise."
3,Star Trek III: The Search for Spock,MORROW,I'm afraid that won't be necessary.
3,Star Trek III: The Search for Spock,SCOTT,"But, sir..."
3,Star Trek III: The Search for Spock,MORROW,"I'm sorry, Mister Scott, but there will be no refit."
3,Star Trek III: The Search for Spock,KIRK,"Admiral, I don't understand. The Enterprise is not..."
3,Star Trek III: The Search for Spock,MORROW,"Jim, the Enterprise is twenty years old. We feel her day is over."
3,Star Trek III: The Search for Spock,KIRK,But we had requested... We'd hoped to take her back to Genesis.
3,Star Trek III: The Search for Spock,MORROW,That is out of the question.
3,Star Trek III: The Search for Spock,KIRK,May I ask why?
3,Star Trek III: The Search for Spock,MORROW,"In your absence, Genesis has become a galactic controversy. ...Until the Federation Council makes policy, you are all under orders not to diskuss with anyone your knowledge of Genesis. Consider it a quarantined planet, and a forbidden subject."
3,Star Trek III: The Search for Spock,KIRK,"To fully understand the events on which I report, it is necessary to review the theoretical data on the Genesis device as developed by Doctors Carol and David Marcus. Genesis, simply put, is life from lifelessness. It was the intention to introduce the Genesis Device into a preselected area of a lifeless space body, a moon or other dead form. The device when delivered would instantaneously cause the Genesis effect. Instead of a dead moon, a living, breathing planet now exists, capable of sustaining whatever lifeforms we see fit to deposit on it."
3,Star Trek III: The Search for Spock,KRUGE,So? Speak!
3,Star Trek III: The Search for Spock,TORG,"Great power ...to control, ...dominate."
3,Star Trek III: The Search for Spock,KRUGE,Speak.
3,Star Trek III: The Search for Spock,MATLZ,Impressive. ...They can make planets.
3,Star Trek III: The Search for Spock,KRUGE,"Oh yes, ...new cities, homes in the country, ...your woman at your side, children playing at your feet. And overhead, fluttering in the breeze, the flag of the Federation. Charming. ...Station!"
3,Star Trek III: The Search for Spock,MALTZ,"Yes, my lord!"
3,Star Trek III: The Search for Spock,KRUGE,Share this with no one.
3,Star Trek III: The Search for Spock,TORG,"Understood, my lord."
3,Star Trek III: The Search for Spock,KRUGE,"We are going to this planet. Even as our emissaries negotiate for peace with the Federation, we will act for the preservation of our race! We will seize the secret of this weapon. The secret of ultimate power!"
3,Star Trek III: The Search for Spock,TORG,"Success, my lord. THE GENESIS PLANET"
3,Star Trek III: The Search for Spock,STARDATE,8210.3
3,Star Trek III: The Search for Spock,SAAVIK,We have reached destination planet at point zero three five.
3,Star Trek III: The Search for Spock,ESTEBAN,"Very well, Lieutenant. Helm. ...Execute standard orbital approach."
3,Star Trek III: The Search for Spock,HELMSMAN,Standard orbit. Aye sir.
3,Star Trek III: The Search for Spock,ESTEBAN,"Communications! Send a coded message for Starfleet Commander, priority one. ...'Federation Science Vessel Grissom arriving Genesis Planet, Mutara Sector to begin research. J.T. Esteban, commanding.'"
3,Star Trek III: The Search for Spock,COMM OFFICER,"Aye sir, coding now."
3,Star Trek III: The Search for Spock,ESTEBAN,"Doctor Marcus, it's your planet."
3,Star Trek III: The Search for Spock,DAVID,"Begin scanning, please. ...This is where the fun begins, Saavik!"
3,Star Trek III: The Search for Spock,SAAVIK,"Just like your father, so human. ...All units functional, recorders are on. Scanning sector one. The foliage in fully developed state of growth. Temperature, twenty-two point two Celsius."
3,Star Trek III: The Search for Spock,DAVID,"Sector two. Indicating desert terrain. Minimal vegetation, temperature thirty-nine point four."
3,Star Trek III: The Search for Spock,SAAVIK,Sector three. Sub-tropical vegetation. ...Temperature decreasing rapidly.
3,Star Trek III: The Search for Spock,DAVID,It's snow. Snow in the same sector. Fantastic!
3,Star Trek III: The Search for Spock,SAAVIK,Fascinating.
3,Star Trek III: The Search for Spock,DAVID,All the varieties of land and weather known to Earth within a few hours walk!
3,Star Trek III: The Search for Spock,SAAVIK,Metallic mass.
3,Star Trek III: The Search for Spock,DAVID,Close-range scan. ...A photon tube! ...Gravitational fields were in flux. ...It must have soft-landed!
3,Star Trek III: The Search for Spock,ESTEBAN,In code to Starfleet. 'Captain's Spock's tube located on Genesis surface.'
3,Star Trek III: The Search for Spock,COMM OFFICER,"Yes sir, ...coding your message."
3,Star Trek III: The Search for Spock,DAVID,I don't believe it.
3,Star Trek III: The Search for Spock,ESTEBAN,What is it?
3,Star Trek III: The Search for Spock,SAAVIK,"If equipment is functioning properly, indications are ...an animal lifeform."
3,Star Trek III: The Search for Spock,ESTEBAN,You said there wouldn't be any...
3,Star Trek III: The Search for Spock,DAVID,There shouldn't be any.
3,Star Trek III: The Search for Spock,SAAVIK,Cross referenced and verified. An unidentifiable lifeform reading.
3,Star Trek III: The Search for Spock,COMM OFFICER,"Do you wish to advise Starfleet, sir?"
3,Star Trek III: The Search for Spock,ESTEBAN,Wait a minute! ...We don't know what we're talking about here.
3,Star Trek III: The Search for Spock,DAVID,Why don't we beam it up?
3,Star Trek III: The Search for Spock,ESTEBAN,"Oh no you don't! Regulations specifically state, 'nothing shall be beamed aboard until danger of contamination has been eliminated.'"
3,Star Trek III: The Search for Spock,SAAVIK,"Captain, ...the logical alternative is obvious. ...Beaming down to the surface is permitted."
3,Star Trek III: The Search for Spock,ESTEBAN,"Yes, if the Captain decides that the mission is vital and reasonably free of danger."
3,Star Trek III: The Search for Spock,DAVID,"Captain, please, ...we'll take the risk, but we've got to find out what it is."
3,Star Trek III: The Search for Spock,SAAVIK,Or who.
3,Star Trek III: The Search for Spock,KIRK,Absent friends.
3,Star Trek III: The Search for Spock,SULU,"Admiral, what's going to happen to the Enterprise?"
3,Star Trek III: The Search for Spock,KIRK,She's to be decommissioned.
3,Star Trek III: The Search for Spock,CHEKOV,Will we get another ship?
3,Star Trek III: The Search for Spock,KIRK,I can't get an answer. Starfleet is up to its brass in galactic conference. No one has time for those who only stand and wait.
3,Star Trek III: The Search for Spock,UHURA,"Sir? About Doctor McCoy, how is he?"
3,Star Trek III: The Search for Spock,KIRK,"He's home, resting comfortably, pumped full of tranquilizers. They say it's exhaustion. He promised me he'd stay put. Well we'll see."
3,Star Trek III: The Search for Spock,KIRK,"Ah, Mister Scott. ...Come. ...Sarek! ...Ambassador, I had no idea you were here... I believe you know my crew."
3,Star Trek III: The Search for Spock,SAREK,"I will speak with you alone, Kirk."
3,Star Trek III: The Search for Spock,KIRK,"Please excuse us. ...Ambassador, I would have come to Vulcan to express my deepest sympathy."
3,Star Trek III: The Search for Spock,SAREK,"Spare me your human platitudes, Kirk. I have been to your Government. I have seen the Genesis information, and your own report."
3,Star Trek III: The Search for Spock,KIRK,Then you know how bravely your son met his death.
3,Star Trek III: The Search for Spock,SAREK,Why did you leave him on Genesis! Spock trusted you. You denied him his future!
3,Star Trek III: The Search for Spock,KIRK,I saw no future.
3,Star Trek III: The Search for Spock,SAREK,"Only his body was in death, Kirk. And you were the last one to be with him."
3,Star Trek III: The Search for Spock,KIRK,"Yes, I was."
3,Star Trek III: The Search for Spock,SAREK,Then you must know that you should have come with him to Vulcan.
3,Star Trek III: The Search for Spock,KIRK,But ...why?
3,Star Trek III: The Search for Spock,SAREK,"Because he asked you to! He entrusted you with his very essence, with everything that was not of the body. He asked you to bring him to us ...and bring that which he gave you, his katra, his living spirit."
3,Star Trek III: The Search for Spock,KIRK,"Sir, ...your son meant more to me than you can know. I'd have given my life if it would have saved his. Believe me when I tell you ...he made no request of me!"
3,Star Trek III: The Search for Spock,SAREK,He would not have spoken of it openly.
3,Star Trek III: The Search for Spock,KIRK,"Then, how was..."
3,Star Trek III: The Search for Spock,SAREK,"Kirk, I must have your thoughts. May I join your mind? ...He spoke of your friendship."
3,Star Trek III: The Search for Spock,KIRK,Yes.
3,Star Trek III: The Search for Spock,SAREK,He asked you not to grieve.
3,Star Trek III: The Search for Spock,KIRK,Yes.
3,Star Trek III: The Search for Spock,SAREK,The needs of the many ...outweigh...
3,Star Trek III: The Search for Spock,KIRK,...the needs of the few...
3,Star Trek III: The Search for Spock,SAREK,...or the one.
3,Star Trek III: The Search for Spock,KIRK,Spock...
3,Star Trek III: The Search for Spock,SAREK,I have been ...and always shall be ...your friend. Live long ...and prosper!
3,Star Trek III: The Search for Spock,KIRK,No!
3,Star Trek III: The Search for Spock,SAREK,Forgive me. It is not here. I had assumed he mind-melded with you. It is the Vulcan way ...when the body's end is near.
3,Star Trek III: The Search for Spock,KIRK,We were separated! He couldn't touch me.
3,Star Trek III: The Search for Spock,SAREK,I see. ...Then everything that he was. ...Everything that he knew ...is lost.
3,Star Trek III: The Search for Spock,KIRK,"Please wait! ...He would have found a way! If there was that much at stake, ...Spock would have found a way!"
3,Star Trek III: The Search for Spock,SAREK,Yes. ...But how?
3,Star Trek III: The Search for Spock,KIRK,What if he joined with someone else?
3,Star Trek III: The Search for Spock,COMPUTER VOICE,"Engine Room, Flight Recorder Visual. Stardate 8128.7 eight."
3,Star Trek III: The Search for Spock,KIRK,Go.
3,Star Trek III: The Search for Spock,SPOCK,Ship. ...Out of danger?
3,Star Trek III: The Search for Spock,KIRK,Yes.
3,Star Trek III: The Search for Spock,KIRK,Back. Point seven seven.
3,Star Trek III: The Search for Spock,COMPUTER VOICE,Flight recorder visual. Twenty-eight point seven seven.
3,Star Trek III: The Search for Spock,KIRK,Go. Mc
3,Star Trek III: The Search for Spock,COY,No! You'll flood the whole compartment!
3,Star Trek III: The Search for Spock,KIRK,He'll die!
3,Star Trek III: The Search for Spock,SCOTT,Sir! He's dead already.
3,Star Trek III: The Search for Spock,KIRK,Back. Point seven six.
3,Star Trek III: The Search for Spock,COMPUTER VOICE,Flight recorder visual. Twenty-eight point seven six.
3,Star Trek III: The Search for Spock,KIRK,Go. Mc
3,Star Trek III: The Search for Spock,COY,You're not going in there!
3,Star Trek III: The Search for Spock,SPOCK,Perhaps you're right. What is Mister Scott's condition? Mc
3,Star Trek III: The Search for Spock,COY,"Well, I don't think that he..."
3,Star Trek III: The Search for Spock,SPOCK,"I'm sorry, Doctor. I have no time to diskuss this logically."
3,Star Trek III: The Search for Spock,KIRK,Freeze! ...Repeat ...and augment!
3,Star Trek III: The Search for Spock,SPOCK,Remember!
3,Star Trek III: The Search for Spock,KIRK,McCoy!
3,Star Trek III: The Search for Spock,SAREK,"One alive, one not. Yet both in pain."
3,Star Trek III: The Search for Spock,KIRK,What must I do?
3,Star Trek III: The Search for Spock,SAREK,"You must bring them to Mount Seleya, ...on Vulcan. Only there can both find peace."
3,Star Trek III: The Search for Spock,KIRK,What you ask ...is difficult.
3,Star Trek III: The Search for Spock,SAREK,"You will find a way, Kirk. ...If you honor them both, you must."
3,Star Trek III: The Search for Spock,KIRK,I will. I swear.
3,Star Trek III: The Search for Spock,ESTEBAN,"Transporter room, stand by to energize."
3,Star Trek III: The Search for Spock,HELM,Aye sir. Energizing now.
3,Star Trek III: The Search for Spock,ESTEBAN,Grissom to Saavik. We're picking up radiation from the lifeform.
3,Star Trek III: The Search for Spock,SAAVIK,"Affirmative, Captain. Our readings are well below danger level."
3,Star Trek III: The Search for Spock,ESTEBAN,"Very well. Exercise caution, Lieutenant. This landing is Captain's diskretion and I'm the one who's out on a limb. [Genesis planet surface - sub-tropical"
3,Star Trek III: The Search for Spock,SAAVIK,I'll try to remember that.
3,Star Trek III: The Search for Spock,DAVID,"There are your lifeforms. These were microbes on the tube's surface. We shot them here from Enterprise. ...They were fruitful, and multiplied."
3,Star Trek III: The Search for Spock,SAAVIK,But how could they have evolved so quickly?
3,Star Trek III: The Search for Spock,DAVID,Saavik. ...What is it?
3,Star Trek III: The Search for Spock,SAAVIK,Spock's burial robe.
3,Star Trek III: The Search for Spock,MORROW,"No. Absolutely not, Jim, ...You are my best officer. But I am Commander, Starfleet, so I don't break rules!"
3,Star Trek III: The Search for Spock,KIRK,"Don't quote rules to me. I'm talking about loyalty and sacrifice. One man who's died for us, another who has deep emotional problems."
3,Star Trek III: The Search for Spock,MORROW,"Now! Wait a minute! This business about Spock and McCoy. ...Honestly, I never understood Vulcan mysticism."
3,Star Trek III: The Search for Spock,KIRK,You don't have to believe! I'm not even sure I believe. But even if there's a chance that Spock has an eternal soul ...then it's my responsibility.
3,Star Trek III: The Search for Spock,MORROW,Yours?
3,Star Trek III: The Search for Spock,KIRK,As surely as if it were my very own! Give me back the Enterprise! With Scotty's help I could...
3,Star Trek III: The Search for Spock,MORROW,"No, Jim! The Enterprise would never stand the pounding and you know it."
3,Star Trek III: The Search for Spock,KIRK,Then I'll find a ship. I'll hire a ship.
3,Star Trek III: The Search for Spock,MORROW,"Out of the question, my friend! The Council has ordered that no one but the science team goes to Genesis! Jim, your life and your career stand for rationality, not intellectual chaos. Keep up this emotional behavior and you'll lose everything. You'll destroy yourself! Do you understand me, Jim?"
3,Star Trek III: The Search for Spock,KIRK,I hear you. ...I had to try.
3,Star Trek III: The Search for Spock,MORROW,Of course.
3,Star Trek III: The Search for Spock,KIRK,Thanks for the drink.
3,Star Trek III: The Search for Spock,MORROW,Any time.
3,Star Trek III: The Search for Spock,SULU,"The word, sir?"
3,Star Trek III: The Search for Spock,KIRK,The word ...is no. I am therefore going anyway.
